id,en,ar,d,cat,related
1383,control structure,بنية تحكم,جزءٌ من برنامجٍ يتحدّد بالعلاقة بين العبارات، ويُستخدَمُ في البرمجة البنيوية. توجد ثلاثُ بنى تحكّم أساسية هي: التتالي: حيث كل عبارة تلي العبارة السابقة؛ والانتقاء: حيث يتعلق انسياب التحكم في البرنامج بتحقق بعض المعايير؛ والتكرار: حيث يُكرر تنفيذ الفعل إلى أن يتحقق شرط محدد.,19,
1384,control unit,وحدة تحكم,تجهيزةٌ أو دارةٌ تؤدِّي وظيفةَ التحكيم أو التنظيم (مثلاً، رقاقة متحكم الذاكرة تتحكم في النفاذ إلى ذاكرة الحاسوب، وهي هنا وحدة التحكم في تلك الذاكرة).,4,
1385,control variable,متغيّر تحكم,في البرمجة: المتغيّرُ في عبارة تحكّم الذي يحدِّد مسيرةَ التنفيذ (مثلاً: يحدِّد متغيرُ الحلقة FOR عددَ مرّات تنفيذ مجموعة عبارات الحلقة).,19,1381
1386,controller,متحكِّم,تجهيزةٌ تَعتمدُ عليها تجهيزاتٌ أخرى في النفاذ إلى جزءٍ من النظام الحاسوبي. مثلاً، المتحكِّمُ في قرص تخزين يتحكَّمُ في النفاذ إلى واحد أو أكثر من مَساوِق القرص disk drives، بحيث يدير النفاذَ الماديَّ والمنطقيَّ إلى المِسْوَق أو المَساوِق.,4,
1387,convention,اصطلاح,أيُّ مِقْيَسٍ standard يُستخدَمُ عموماً في حالةٍ محدَّدة. هناك العديدُ من المصطلحات التي تُستخدَمُ عند الحديث عن الحواسيب الصغرية. ففي البرمجة مثلاً، تَعتمدُ لغةُ برمجةٍ كاللغة C على مجموعةٍ معتَمَدةٍ رسمياً من الرموز والمختصرات الواجب استخدامُها في البرامج. ومن ناحيةٍ أقل رسمية، يَعتمدُ المبرمجون عادةً اصطلاحاً يقضي بإزاحة التعليمات، التابعة لمَسَاقٍ routine معيّن نحو الداخل، بحيث تصبح بنيةُ البرنامجِ أوضحَ. وتقومُ الهيئاتُ الوطنيةُ والعالميةُ غالباً بمناقشة ووضع اصطلاحات في مجال لغات البرمجة وبنى المعطيات، ومَقَايِسِ الاتصالات ومميزات التجهيزات.,,751|975|4538|5616
1388,conventional memory,ذاكرة اصطلاحية,حجمُ ذاكرةِ RAM مُعنونَة من قبل الحواسيب الشخصية IBM أو المتوافقة معها تعمل في النمط الحقيقي. وهي نموذجياً 640 كيلوبايت. والذاكرة الاصطلاحية هي النوع الوحيد من الذاكرة RAM التي تستطيع برامجُ MS-DOS النفاذَ إليها، إذا لم تُستخدَمْ أيّ تقنية خاصة.,4,1782|3890
1389,derived class,صف مشتق,في البرمجة الغرضية التوجه: صفٌّ مُنشأٌ من صفٍّ آخرَ يسمَّى الصفَّ القاعدي base class. يَرِثُ الصفُ المشتقُّ كلَّ سمات الصفِّ القاعدي، ويمكِن عندئذٍ أن يُضيفَ عناصرَ معطيات ومساقات routines، ويمكِن أن يُعيدَ تعريفَ المَساقات الموروثة من الصفِّ القاعدي، وأن يَقْصرَ عمليةَ النفاذ على سماتِ الصفِّ القاعدي.,19,
1390,derived font,بنط مشتق,بنطٌ مصغَّرٌ أو مكبَّر أو معدَّلٌ من بنطٍ موجودٍ قبلاً. فمثلاً، يمكِن أن يولِّد نظامُ تشغيلِ Macintosh محارفَ بقياساتٍ بنطيةٍ أخرى غيرِ تلك المُرْساة.,26,2973
1391,derived relation,علاقة مُشتقة,علاقةٌ تَنتجُ من تطبيقِ عمليةٍ أو أكثر من عمليات الجبر العلاقاتي على علاقات أخرى.,1,5095
1392,DES,مِقْيَسُ تعميةِ المعطيات,مختصر: Data Encryption Standard. توصيفٌ لتعمية المعطيات الحاسوبية طُوِّر في شركة IBM ثم اعتمدتْه الحكومةُ الأمريكية مِقْيَساً في عام 1976. يَستخدِمُ مِقْيَسُ تعميةِ المعطيات مفتاحاً طوله 56 بت.,10,
1393,descendant,1 سليل ، 2 سليل,"1- في البرمجة الغرضية التوجه: صفٌّ ذو شكلٍ أكثر تخصيصاً من صفٍّ آخرَ، أعلى مستوىً.
2- في الحساب: إجرائيةٌ (برنامج أو مهمة، إذا لم نَتَوَخَّ الدقة) تَستدعِيها إجرائيةٌ أخرى، وتَرِثُ بعضَ خواصِّها، مثل: الملفات المفتوحة مثلاً.",19,130|5667
1394,descender,جزء هابط [من الحرف],الجزءُ من رسم الحرف اللاتيني الصغير الذي يقع تحت خطِّ الأساس.,26,1176|5288
1395,descending sort,فرز تنازلي,الترتيبُ الذي يُنظِّمُ العناصرَ تنازلياً، مثلاً يَجعلُ Z يسبق A، والأعدادَ الكبيرة تَسبقُ الأعدادَ الصغيرة.,16|26,2600
1396,descriptor,1 واصف ، 2 واصف,1- في استحضار المعلومات: كلمةٌ (تُشْبه مَدخلاً في دليلِ index كتابٍ) تُعيِّنُ هُويةَ عنصرٍ أو موضوعٍ مهمٍّ في وثيقةٍ مخزَّنة أو في مجموعةِ وثائق. يُستخدَمُ الواصفُ مفتاحاً في البحث السريع واستحضار المعلومات.,7|19,59
1397,deselect,يلغي الانتقاء,يَعكسُ عمليةَ انتقاءِ خيارٍ معيَّن، أو مجالٍ نصّيّ، أو جَمْعَةِ أغراضٍ بيانية، إلخ...,26,
1398,deserialize,يحوّل [من متسلسل] إلى متوازٍ,يُغيِّرُ من الشكل التسلسليِّ (بالبتّات) إلى المتوازي (بالبايتات مثلاً)، أيْ يحوِّل من دفْقٍ وحيدٍ من البتّات (تسلسلي) إلى دفقات متوازية تمثِّل المعلوماتِ نفسَها.,9,
1399,design cycle,دورة التصميم,كلُّ المراحلِ التي تمرُّ بها عمليةُ استنباطِ أو تطوير، وإنتاجِ عتاديات أو برمجيات جديدة، وتَشملُ توصيفَ المنتَجِ وإنشاءَ النماذجِ الأولية والاختبار والتنقيح والتوثيق.,24,
1400,desk accessory,مُلحَقةُ [سطح] المكتب,مختصره: DA. نوعٌ من البرامجِ الصغيرة في حواسيب Macintosh، والبرامجِ التي تَعتمد على النوافذ في الحواسيب الشخصية IBM والمتوافقة معها، والتي تُعدّ مكافئاً إلكترونياً للميقاتية، أو التقويم، أو الحاسبة الصغيرة، أو أدوات صغيرة توجد عادةً على سطح المكتب. إنّ ملحَقات سطح المكتب أدواتٌ مفيدةٌ يمكِن تفعيلُها عند الحاجة، ثم إغلاقُها أو وضعُها في جزءٍ صغيرٍ من الشاشة. تُعدّ لوحةُ التحكّم control panel نوعاً خاصاً من مُلحَقات سطح المكتب تمكِّن المستخدِمَ من تغيير التاريخ والزمن، إضافةً إلى ضبط ألوان الشاشة، وحركات الفأرة، والموسِطات parameters الأخرى.,17,1378
1401,desktop,سطح المكتب,منطقةُ عملٍ على الشاشة تَستخدِمُ القُوَنَ icons والقوائمَ لمحاكاة سطح المكتب. سطحُ المكتب مُميّزٌ لأنظمة Macintosh والبرامج التي تعتمد على النوافذ كما في Windows. وترمي إلى جعْل الحاسوب أسهلَ استخداماً بتمكين المستخدِمين من نقْل الصور والأغراض وتشغيل وإيقاف المهمات بطريقة مشابهة لعملهم على سطح مكتب ماديّ.,17,2939
1402,desktop accessory,مُلحَقةُ [سطح] المكتب,انظر: desk accessory.,17,
1403,desktop computer,حاسوب سطح مكتب,"حاسوبٌ يلائمُ سطحَ طاولةِ مكتب. يمكِن اعتبار معظم الحواسيب الشخصية، إضافةً إلى بعض محطات العمل، حواسيبَ مكتبية.
قارن portable computer.",,
1404,desktop conferencing,ائتمار باستخدام الحاسوب,استخدامُ الحواسيب للاتصال المتواقت بين عدة مشاركين متباعدين جغرافياً في اجتماعٍ ما. يمكِن لهذا الاتصال أن يتضمَّن إدخالَ أو إظهارَ معلومات من برمجيات تطبيقية، إضافةً إلى تحقيق الاتصال الصوتي والفيديوي.,3,4723|5065|6013
1405,desktop enhancer,مُحَسِّنُ سطح مكتب,برمجياتٌ تُضيفُ وظائفَ إلى أنظمة التشغيل المُعتمِدة على النوافذ مثل: Windows أو Mac OS. من أمثلته: متصفِّح ملفات مُحَسَّن، ولوحة القطع واللصق clipboard، وقارئ الوسائط المتعددة.,17,
1406,Desktop file,ملفُّ سطح مكتب,ملفٌّ مخفيٌّ يَحفظُه في مَوْسِعٍ volume مخصوصٍ (مكافئ للقرص تقريباً) نظامُ التشغيل Macintosh لتخزين معلومات عن الملفات الموجودة ضمنه، مثل: معطيات الإصدار، ولائحة القُوَن icons، ومرجعية الملفات.,17,
1407,Desktop Management Interface,واجهة إدارة سطح المكتب,انظر: DMI.,,
1408,desktop publishing,نشر مكتبي,استخدامُ حاسوبٍ وبرمجياتٍ خاصة، لإنشاء وثيقة تَضمُّ نصوصاً ورسوماً بيانية يمكِن طبعُها بوساطة طابعة ليزرية أو آلة تنضيد حروف مطبعية. والنشرُ المكتبي إجرائيةٌ متعددةُ الخطوات تتضمَّن أنواعاً متعددة من البرمجيات والمعدّات. إذ يجري إنشاءُ النصِّ الأصلي والرسوم عموماً باستخدام برامج معالج النصوص والرسم والطلاء فضلاً على المُرَقْمِنات ومعدّات المسح الضوئي للصور. ثم تُنقَلُ الوثيقةُ الناتجةُ إلى برنامجِ تنسيق الصفحات، الذي يَعدُّه أغلبُ الناس برنامجَ النشر المكتبي الفعلي. يمكِّن هذا النوعُ من البرامج المستخدِمَ من تنسيق النصِّ والرسوم على الشاشة، ومن رؤية النتيجة. ولصقْلِ أجزاء الوثيقة، تتضمّن هذه البرامجُ غالباً ميزات معالجة النصوص والرسوم البيانية إضافةً إلى إمكانات التنسيق. وأخيراً تُطبعُ الوثيقةُ النهائيةُ على طابعة ليزرية، أو على معدّات تنضيد حروف مطبعية للحصول على الجودة الفُضْلَى.,26,
1409,desktop video,فيديو حاسوبي-مكتبي,مختصره: DTV. استعمالُ الحاسوب الشخصي لعرض صورٍ فيديوية. ويمكِن تسجيلُ هذه الصور على شريطِ فيديو أو قرصٍ ليزري أو عرضها مباشرةً من كَمِرَةٍ فيديوية. ويمكِن أيضاً إرسالُ الصور الفيديوية الحية على شكلٍ رقميٍّ عبر شبكة في الائتمار الفيديوي.,14|15,
